,label_norm,headline_text,subject,stateinfo,partyaffiliation,barelytruecounts_norm,falsecounts_norm,halftruecounts_norm,mostlytrueocunts_norm,pantsonfirecounts_norm,followers_norm,clean,sentiment_vector,vader_polarity,sentiment_score,index,topic_number,lda_score,topic_top_words
0,-1.2201179380721479,Says the Annies List political group supports third-trimester abortions on demand.,abortion,Texas,republican,-0.6503724283927691,-0.6048586350602416,-0.5222279310628057,-0.49678317154386803,-0.7098021436057105,-0.3463188413254832,say anni list polit group support third trimmest abort demand,"[0.123, 0.656, 0.221, 0.296]",0,0.296,0,8,0.5499836206436157,vote republican support country state budget spend health percent text
1,0.8195929006502879,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments",Virginia,democrat,-0.6503724283927691,-0.6547494942808675,-0.499363310613471,-0.474319080090351,-0.7098021436057105,-0.3461850654298083,decline coal start start natur gas took start begin presid george w bush administr,"[0.0, 1.0, 0.0, 0.0]",0,0.0,1,9,0.6999920010566711,presid obama took barack million fund state peopl sinc health
2,0.8195929006502879,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",foreign-policy,Illinois,democrat,2.799522651949145,2.887501510383565,3.136111340830755,3.164863735379405,1.1802035642201458,3.3481437815357524,hillary clinton agre john mccain vote give george bush benefit doubt iran,"[0.161, 0.645, 0.194, 0.128]",0,0.128,2,8,0.5499733090400696,vote republican support country state budget spend health percent text
3,0.8195929006502879,The economic turnaround started at the end of my term.,"economy,jobs",Florida,democrat,0.08889080310906954,-0.20573176129523513,-0.0649355220761107,-0.06996543392704478,-0.2898008751999646,-0.34527945456450854,econom turnaround start end term,"[0.0, 1.0, 0.0, 0.0]",0,0.0,3,0,0.10000000149011612,care health would bill obama time presid barack country vote
4,0.8195929006502879,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,Wisconsin,republican,-0.6503724283927691,-0.50507691661899,-0.47649869016413626,-0.3844627142762829,-0.4998015094028376,-0.346212399363144,chicago bear start quarterback last year total number tenure uw faculty fire last two dead,"[0.335, 0.6, 0.065, -0.7506]",0,-0.7506,4,3,0.7749843597412109,year state last american unit would cost first presid money
5,0.8195929006502879,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,Illinois,democrat,2.799522651949145,2.887501510383565,3.136111340830755,3.164863735379405,1.1802035642201458,3.3481437466710418,person stage work activ last year pass along rus feingold toughest ethic reform sinc water,"[0.085, 0.915, 0.0, -0.0772]",0,-0.0772,5,4,0.4726370871067047,percent american said state sinc make would text country obama
6,0.8195929006502879,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs,,organization,-0.6503724283927691,-0.6547494942808675,-0.499363310613471,-0.49678317154386803,-0.4998015094028376,-0.3462695774889993,howe took million oregon lottery fund port newport event land new nova marin oper center pacify,"[0.0, 1.0, 0.0, 0.0]",0,0.0,6,9,0.7749822735786438,presid obama took barack million fund state peopl sinc health
7,0.8195929006502879,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"energy,message-machine-2014,voting-record",Wisconsin,republican,-0.6503724283927691,-0.6547494942808675,-0.5222279310628057,-0.474319080090351,-0.7098021436057105,-0.3463440833761656,say gop primary ippon glenn gaothan joe leibham cast compromis vote cost million higher elect cost,"[0.0, 1.0, 0.0, 0.0]",0,0.0,7,5,0.5177822709083557,million immigra every vote make work year feder peopl fund
8,-1.2201179380721479,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",Massachusetts,republican,1.025290896344732,0.9417580007791585,0.8039200549986099,0.2445318464221934,3.280209906248875,-0.2773270173742535,mitt romney governor massachusetts didn slow rate growth govern actual cut,"[0.153, 0.657, 0.19, 0.128]",0,0.128,8,1,0.6082156300544739,debt school govern peopl rate state percent time first obama
9,0.8195929006502879,The economy bled $24 billion due to the government shutdown.,"economy,federal-budget,health-care",,none,-0.6503724283927691,-0.6547494942808675,-0.47649869016413626,-0.40692680572979995,-0.7098021436057105,-0.346304023823356,economi bled billion due govern shutdown,"[0.0, 1.0, 0.0, 0.0]",0,0.0,9,1,0.5499889850616455,debt school govern peopl rate state percent time first obama
